City_id,City,Country,Max Temp,Lat,Lng,Hotel Name
497,Martapura,ID,84.29,-3.4167,114.85,Q-Hotel Grand Dafam
501,Coruripe,BR,75.76,-10.1256,-36.1756,No hotel found
503,Saint-Pierre,RE,74.88,-21.3393,55.4781,Tropic Hotel
506,Kontagora,NG,71.73,10.3999,5.4695,No hotel found
515,Autazes,BR,80.85,-3.5797,-59.1306,No hotel found
516,Sao Sebastiao,BR,72.68,-23.76,-45.4097,Hotel do Sol Executive
518,Vanimo,PG,80.37,-2.6741,141.3028,CBC Guesthouse
521,Bondoukou,CI,73.27,8.0333,-2.8,Hotel Akakro
525,Santa Cruz,BO,80.06,-17.8,-63.1667,Aviador Hotel Boutique
527,Kapit,MY,75.09,2.0167,112.9333,Haip
529,Sabang,ID,81.27,5.8933,95.3214,Sabang Hill
530,Kihei,US,79.84,20.785,-156.4656,Maui Beach Resort
531,The Valley,AI,78.66,18.217,-63.0578,CeBlue
533,Labuan,MY,84.56,5.2767,115.2417,Labuan Avenue Hotel
534,Vicksburg,US,71.28,32.3526,-90.8779,Relax Inn Downtown Vicksburg
537,Alappuzha,IN,77.0,9.49,76.3264,Unnis Hotel
539,Salaga,GH,77.88,8.5508,-0.5188,No hotel found
542,Xai-Xai,MZ,72.59,-25.0519,33.6442,No hotel found
543,Mae Sai,TH,72.52,20.4335,99.8762,ปิยะพรฮิลล์ พาราไดซ์
544,Lorengau,PG,80.58,-2.0226,147.2712,Seeadler Bay Hotel
545,Hays,US,72.63,30.0502,-98.0336,No hotel found
553,Padang,ID,78.85,-0.9492,100.3543,losmen Surya
556,Araceli,PH,82.38,10.5529,119.9913,ARPA Lodge
569,Touros,BR,78.28,-5.1989,-35.4608,Pousada Atlântico
572,Monitos,CO,72.21,8.25,-76.05,No hotel found
574,Hervey Bay,AU,85.01,-25.2986,152.8535,Hervey Bay Hotel
576,Gawler,AU,70.11,-34.6,138.7333,No hotel found
580,Port Moresby,PG,85.42,-9.4431,147.1797,The Sanctuary Hotel and Spa
596,Feijo,BR,74.07,-8.1642,-70.3536,Hotel JOAFRAN
598,Soeng Sang,TH,72.34,14.4264,102.4606,Sayfon resort
600,Ixtapa,MX,78.03,20.7,-105.2,No hotel found
602,Comalcalco,MX,73.71,18.2667,-93.2167,Hotel Kaoma
604,Hirara,JP,75.06,24.8,125.2833,古謝そば屋
606,Vao,NC,76.64,-22.6667,167.4833,Nataiwatch
607,Pundaguitan,PH,80.98,6.3711,126.1689,No hotel found
613,Gurupi,BR,76.87,-11.7292,-49.0686,Via Norte
616,Sorong,ID,82.98,-0.8833,131.25,Hotel Membramo Marina
617,Uberaba,BR,72.18,-19.7483,-47.9319,Hotel Metrópole
618,Pak Phanang,TH,80.62,8.3511,100.202,Pak Phanang Hotel
619,Kupang,ID,88.38,-10.1667,123.5833,BIB & LANG GUEST HOUSE
620,Acarau,BR,79.86,-2.8856,-40.12,No hotel found
623,Wattegama,LK,72.86,6.7989,81.4808,No hotel found
626,Novo Aripuana,BR,78.87,-5.1206,-60.3797,Hotel Novo Aripuanã
627,Camopi,GF,71.8,3.1655,-52.3158,Chez Lucia
632,Dhidhdhoo,MV,81.05,6.8833,73.1,No hotel found
633,Soe,ID,82.44,-9.8607,124.284,DENA
634,Kuah,MY,84.18,6.3265,99.8432,Langkawi Budget Inn
635,Cacu,BR,72.3,-18.5567,-51.1308,No hotel found
636,Uba,BR,71.85,-21.12,-42.9428,Hotel San Remo
638,Dingle,PH,81.66,10.9995,122.6711,No hotel found
644,Santa Cruz Del Sur,CU,72.25,20.7147,-77.9956,No hotel found
649,Puerto Colombia,CO,78.89,10.9878,-74.9547,Hotel Puerto Colombia
651,Teahupoo,PF,80.56,-17.8333,-149.2667,Vanira Lodge
656,Cayenne,GF,77.04,4.9333,-52.3333,Central Hôtel
657,Araouane,ML,74.95,18.9048,-3.5265,No hotel found
658,Roura,GF,76.91,4.7263,-52.3274,No hotel found
669,Ballina,AU,86.02,-28.8667,153.5667,Ballina Beach Resort
670,Belmonte,BR,75.11,-15.8631,-38.8828,No hotel found
674,Isla,PH,85.01,15.8939,120.3036,No hotel found
679,Sao Felix Do Xingu,BR,74.82,-6.6447,-51.995,Hotel Terraço
684,Labuhan,ID,84.4,-6.8844,112.2051,No hotel found
689,Alyangula,AU,87.67,-13.8483,136.4192,No hotel found
690,Inirida,CO,72.81,3.8653,-67.9239,Residencias El Turista del Guainia
693,Banjar,ID,87.01,-8.19,114.9675,Villa Banjar Beach
694,Basco,PH,79.03,20.4487,121.9702,Tawsen Hotel
697,Consolacion Del Sur,CU,70.2,22.5047,-83.5136,No hotel found
699,Tuy Hoa,VN,77.72,13.0833,109.3,Vinh Tuan Hotel
701,Aureliana,PH,83.14,10.8885,121.978,La Parola Orchid Beach Resort
702,Bairiki,KI,87.8,1.3292,172.9752,Marry's Motel
