City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
405,Urumqi,43.801,87.6005,9.55,79,0,4.47,CN,2022-12-05 22:32:01
406,Baracoa,20.3467,-74.4958,75.72,67,19,12.17,CU,2022-12-05 22:32:49
407,Lewiston,44.1003,-70.2148,44.42,78,62,1.01,US,2022-12-05 22:32:50
408,Karratha,-20.7377,116.8463,83.43,38,6,13.58,AU,2022-12-05 22:31:40
409,Lira,2.235,32.9097,65.97,69,95,3.09,UG,2022-12-05 22:33:50
410,Te Anau,-45.4167,167.7167,47.84,96,100,3.58,NZ,2022-12-05 22:33:51
411,Poso,-1.3959,120.7524,78.13,83,100,3.4,ID,2022-12-05 22:33:51
412,Bathsheba,13.2167,-59.5167,77.61,87,40,5.75,BB,2022-12-05 22:33:51
413,Mitchell,43.7094,-98.0298,27.73,70,100,12.66,US,2022-12-05 22:33:52
414,Bakchar,57.0186,82.0711,-4.05,98,97,3.94,RU,2022-12-05 22:33:52
415,Poltavka,54.3663,71.7632,-6.07,98,71,1.34,RU,2022-12-05 22:33:52
416,Abomsa,9.9833,39.9833,63.5,38,46,4.03,ET,2022-12-05 22:33:53
417,Touros,-5.1989,-35.4608,79.25,76,15,12.77,BR,2022-12-05 22:33:53
418,Salihli,38.4826,28.1477,46.78,87,3,2.06,TR,2022-12-05 22:33:53
419,Port Victoria,0.0939,33.9756,70.07,75,100,3.6,KE,2022-12-05 22:33:54
420,Tateyama,34.9833,139.8667,44.53,93,75,13.8,JP,2022-12-05 22:33:54
421,Shelabolikha,53.4131,82.6167,1.33,96,82,2.77,RU,2022-12-05 22:33:55
422,Novaya Igirma,57.1334,103.9112,8.08,87,100,13.56,RU,2022-12-05 22:33:55
423,Salisbury,51.0693,-1.7957,44.02,86,100,10.36,GB,2022-12-05 22:30:37
424,Tanda,26.55,82.65,55.22,48,0,6.55,IN,2022-12-05 22:33:56
425,Chebarkul,54.9749,60.3633,-8.66,100,89,1.97,RU,2022-12-05 22:33:56
426,Najran,17.4924,44.1277,57.85,38,0,3.36,SA,2022-12-05 22:33:56
427,Mangit,40.5971,70.9607,31.59,85,94,4.61,UZ,2022-12-05 22:33:57
428,Santa Vitoria Do Palmar,-33.5189,-53.3681,66.25,91,0,7.29,BR,2022-12-05 22:32:14
429,Aitape,-3.1374,142.3475,76.28,92,100,9.04,PG,2022-12-05 22:33:58
430,Puerto Ayacucho,5.6639,-67.6236,80.13,72,70,7.47,VE,2022-12-05 22:33:58
431,Sao Joao Da Barra,-21.6403,-41.0511,77.09,85,91,20.87,BR,2022-12-05 22:33:59
432,Nicoya,10.1483,-85.452,76.86,83,51,3.2,CR,2022-12-05 22:33:59
433,Saldanha,-33.0117,17.9442,59.05,79,71,13.29,ZA,2022-12-05 22:34:00
